nome;preco;genero;loja;adulta;cultivo;clima;luminosidade;umidade
Blc. Nobiles Bruno Bruno;R$ 60,00;cattleya;1;;Cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo utilizar também adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade. Produz flores de linda tonalidade.Exuberantes. Perfumada.;Clima: tropical;60%;
"Cattleya Tigrina Semi Alba ""Jade""";R$ 90,00;cattleya;1;AD;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade. Produz flores muito pintalgadas e perfumadas.;Clima: tropical;60%;
Slc. Riffe Red December;R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
"Cattleya Tigrina var. Alba ""The King""";R$ 95,00;cattleya;1;AD;Cultivo: em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
"Cattleya Tigrina Semi Alba ""Trilabelo""";R$ 150,00;cattleya;1;AD;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade. Produz flores muito pintalgadas e perfumadas.;Clima: tropical;60%;
Slc. Orpetti;R$ 30,00;cattleya;1;AD;;Clima: tropicaCredito da Foto;;
Cattleya Nobilior Vinicolor Dona Julia x Self;R$ 30,00;cattleya;1;;As dicas de cultivo desta espécie vêm da observação da natureza. Nas regiões onde elas ocorrem existem dois períodos bem definidos: verão(seca) e inverno (chuva). O que nos leva a crer que estas plantas necessitam passar por um período de seca antes da floração (entre Maio e Junho) e conseqúente aumento de regas após a floração em Agosto/Setembro, quando então produzem seusbulbos vegetativos.;;;
Cattleya Mesquitae Diego x Self;R$ 30,00;cattleya;1;;As dicas de cultivo desta espécie vêm da observação da natureza. Nas regiões onde elas ocorrem existem dois períodos bem definidos: verão(seca) e inverno (chuva). O que nos leva a crer que estas plantas necessitam passar por um período de seca antes da floração (entre Maio e Junho) e conseqúente aumento de regas após a floração em Agosto/Setembro, quando então produzem seusbulbos vegetativos.;;;
Blc. Saeng U-Sa;R$ 35,00;cattleya;1;;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
Cattleya Dolosa Alba x Self;R$ 55,00;cattleya;1;;;Clima: tropical;;
Cattleya Intermedia Marginata;R$ 25,00;cattleya;1;NBS;Fácil cultivo.;;Sombreamento: 50%;
Blc. Nobiles Sparks x Golden Horizon;R$ 25,00;cattleya;1;NBS;;Clima: tropical;50% a 60%;
Potinara Bibi Ferreira;R$ 25,00;cattleya;1;NBS;;;;
Blc. Nobiles Wildfire;R$ 25,00;cattleya;1;NBS;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.;Clima: tropical;50% a 60%;
Blc. Nobiles Rock;R$ 25,00;cattleya;1;NBS;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.;Clima: tropical;50% a 60%;
Blc. Nobiles Golden Dunes- NBS;R$ 25,00;cattleya;1;NBS; florada a partir de 18 mesesCultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo utilizar também adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
Blc. Nobiles Fa;R$ 25,00;cattleya;1;NBS;  10  cmCultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo utilizar também adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
Potinara Julia Guimaraes- NBS;R$ 25,00;cattleya;1;NBS;Cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo utilizar também adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
Cattleya Francis Tc Au x Loddigesii Alba;R$ 15,00;cattleya;1;MUDA;Tipo de cultivo: vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo.  Cattleya de porte médio, mesmo em fase adulta. Adapta-se bem a diversas regiões;Clima: tropical;60%;
Cattleya Francis Tc Au x Loddigesii Alba;R$ 25,00;cattleya;1;NBS;Tipo de cultivo: vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo.  Cattleya de porte médio, mesmo em fase adulta. Adapta-se bem a diversas regiões;Clima: tropical;60%;
Blc. Nobiles Virgin;R$ 25,00;cattleya;1;NBS;Tipo de cultivo: vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo.  Cattleya de porte médio, mesmo em fase adulta. Adapta-se bem a diversas regiões;Clima: tropical;60%;
Slc. Empress of Mercury;R$ 39,00;cattleya;1;AD;;Clima: tropical;;
Slc. Riffe Red December;R$ 29,00;cattleya;1;AD;;Clima: tropical;;
Slc. Riffe Brightns Farms;R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Cattleya Violacea var. Semi-alba;R$ 100,00;cattleya;1;NBS;;;numa altitude de 800 a 1200 metros;
Potinara Free Spirit Miami Sun;R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Slc. Jeweler's Art Tiasa;R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Potinara Jim Krull Hunabu;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Blc. Clear Water Gold;R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Lc Hausermanns Firewings Pegasus;R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Blc Purple Ruby x Lc Pirate King;R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Lc Hausermanns Firewings Pegasus;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Blc Goldenzelle Saddle Peak;R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Lc. Remo Prado Crown;R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Blc Ports of Paradise Emerald Isle;R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Lc Hawaiian Drumbeat;R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Slc Vallezac 'Evelyn';R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Lc Kencolor;R$ 12,00;cattleya;1;MUDA;;Clima: tropical;;
Blc Goldenzelle Saddle Peak;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Lc Sheila Lauterbach Equilab;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Potinara Red Crab 'Kuan Miao';R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Lc Hawaiian Drumbeat;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Blc Rose Whisper Suisei- T3;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Slc Coastal Sunrise Lemon Chiffon;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Blc N S A Linda Donna;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Potinara Luna Jaune Celebration;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Lc Color Guarde Parade;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Potinara Kozo's Scarlet Vi-Emi;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Blc Mishima Monarch Blumen Insel;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Slc Vallezac 'Evelyn';R$ 9,90;cattleya;1;MUDA;;Clima: tropical;;
Blc Ports of Paradise Emerald Isle;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Blc Yen 24 Karat;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Blc Haw Yuan Beauty Hong;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Blc Island Chayn Blumen Insel;R$ 15,00;cattleya;1;MUDA;;Clima: tropical;;
Blc Chia Lin Shin Shy;R$ 16,00;cattleya;1;MUDA;Tipo de cultivo: em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Gosta de claridade ambiente.Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade. Flores de 5cm de diâmetro.;Clima: tropical;;
Lc White Spark Panda;R$ 16,00;cattleya;1;MUDA;Tipo de cultivo: em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Gosta de claridade ambiente.Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade. Flores de 5cm de diâmetro.;Clima: tropical;;
Pot Love Call Tropical Queen;R$ 16,00;cattleya;1;MUDA;Tipo de cultivo: em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Gosta de claridade ambiente.Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade. Flores de 5cm de diâmetro.;Clima: tropical;;
Lc. City Cana;R$ 39,00;cattleya;1;AD;se muito bem ao cultivo em placa.Clima: tropical.;Clima: tropical;;
Cattleya Intermedia Alba;R$ 25,00;cattleya;1;NBS;Fácil cultivo.;;Sombreamento: 50%;
Cattleya Intermedia Flamea Marginata;R$ 25,00;cattleya;1;NBS;Fácil cultivo.;;Sombreamento: 50%;
Blc Goldenzelle Taida;R$ 25,00;cattleya;1;NBS;;Clima: tropical;;
Lc. Mini Purple Blue Pacific;R$ 69,00;cattleya;1;AD;se muito bem ao cultivo em placa.Clima: tropical.;Clima: tropical;;
Potinara Red Crab 'Kuan Miao';R$ 55,00;cattleya;1;AD;;Clima: tropical;;
Blc. Edisto Newberry x Chunyeah;R$ 55,00;cattleya;1;;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
"Blc. Oriental Mamboo ""Perseveranca""";R$ 55,00;cattleya;1;;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
Potinara Nobiles Tatha Fatima;R$ 55,00;cattleya;1;;;Clima: tropical;;
Blc. Chaweewan Sunset;R$ 55,00;cattleya;1;AD;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade. Incrivelmente lindas, grandes e perfumadas. Efeito aveludado;Clima: tropical;60%;
Potinara Marie Granada Sunrise;R$ 45,00;cattleya;1;AD;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
Blc. Salmon TAK;R$ 49,00;cattleya;1;;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
Blc. Memoria Anna Balmores;R$ 49,00;cattleya;1;AD;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Labelo predominante. Quando estiver em floração evite molhar as flores para maior durabilidade.  ;Clima: tropical;60%;
Blc. Rungnapha Fancy;R$ 49,00;cattleya;1;AD;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Labelo predominante. Quando estiver em floração evite molhar as flores para maior durabilidade.  ;Clima: tropical;60%;
Blc. Hadday Delight;R$ 55,00;cattleya;1;AD;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Labelo predominante. Quando estiver em floração evite molhar as flores para maior durabilidade.  ;Clima: tropical;60%;
Cattleya Nobilior;R$ 49,00;cattleya;1;;As dicas de cultivo desta espécie vêm da observação da natureza. Nas regiões onde elas ocorrem existem dois períodos bem definidos: verão(seca) e inverno (chuva). O que nos leva a crer que estas plantas necessitam passar por um período de seca antes da floração (entre Maio e Junho) e conseqúente aumento de regas após a floração em Agosto/Setembro, quando então produzem seusbulbos vegetativos.;;;
Cattleya Schilleriana x Whiteii;R$ 65,00;cattleya;1;;Cultivo: vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar. Também é cultivada em placas, neste caso utilize um pouco de substrato junto às raizes para ajudar retenção de umidade da rega.;Clima: tropical;60% a 70%;o de umidade da rega
Cattleya Dayane x C. Luteola;R$ 49,00;cattleya;1;AD;se muito bem ao cultivo em placa.Clima: tropical.;Clima: tropical;;
